,DeID,Transfer Status,Final.exam.percentage..out.of.100.or.between.0.and.1.,Primary Instructor (3rd Week),Enrollment Flag (3rd Week),Enrollment Flag (End of Term),Grade (End of Term)
179,CZIGXRYP,False,92.67,"Alvarado, Christine J.             ",Y,Y,A  
180,D226NMJP,False,91.83,"Alvarado, Christine J.             ",Y,Y,A  
181,D2PDHXCR,False,75.75,"Alvarado, Christine J.             ",Y,Y,B+ 
182,D4BND4OF,False,53.42,"Lerner, Sorin                      ",Y,Y,C- 
183,D58K0UOQ,False,97.5,"Lerner, Sorin                      ",Y,Y,A+ 
184,DDWN6VB1,False,88.75,"Alvarado, Christine J.             ",Y,Y,A  
185,DEYZMWO6,False,55.669999999999995,"Lerner, Sorin                      ",Y,Y,B- 
187,DJBVREYM,False,76.58,"Lerner, Sorin                      ",Y,Y,B+ 
188,DJVQXO0Y,False,80.17,"Alvarado, Christine J.             ",Y,Y,B+ 
189,DN5L5E02,False,79.75,"Alvarado, Christine J.             ",Y,Y,A- 
191,DTZ3WEFP,False,95.83,"Alvarado, Christine J.             ",Y,Y,A+ 
192,DUKBIFIV,False,95.42,"Alvarado, Christine J.             ",Y,Y,A  
193,DWRQLM42,False,90.0,"Alvarado, Christine J.             ",Y,Y,A  
194,E1K24ERG,False,83.91999999999999,"Lerner, Sorin                      ",Y,Y,B  
195,E7D1676F,False,81.83,"Lerner, Sorin                      ",Y,Y,A- 
197,E7V1XN6U,False,89.33,"Alvarado, Christine J.             ",Y,Y,A  
198,E885V9W9,False,75.17,"Alvarado, Christine J.             ",Y,Y,B  
199,E8QP4BFL,False,74.33,"Alvarado, Christine J.             ",Y,Y,B+ 
200,E96EJ1W7,False,83.5,"Lerner, Sorin                      ",Y,Y,A- 
201,EBRJ26QD,False,80.58,"Alvarado, Christine J.             ",Y,Y,A- 
202,EFM5M2F2,False,93.92,"Lerner, Sorin                      ",Y,Y,A  
203,EFM5M2F2,False,93.92,"Lerner, Sorin                      ",Y,Y,A  
204,EG06PPYB,False,47.83,"Alvarado, Christine J.             ",Y,Y,C  
206,EN9M2QX9,False,68.67,"Lerner, Sorin                      ",Y,Y,B- 
207,ES5TP0KY,False,76.25,"Lerner, Sorin                      ",Y,Y,B+ 
208,EU9L3V2S,False,72.17,"Alvarado, Christine J.             ",Y,Y,C+ 
209,EXBTEBFC,False,85.0,"Alvarado, Christine J.             ",Y,Y,A  
210,EZM58OT8,False,96.25,"Alvarado, Christine J.             ",Y,Y,A  
211,F1OC0OSJ,False,74.5,"Alvarado, Christine J.             ",Y,Y,B  
212,F22XWAA8,False,85.42,"Lerner, Sorin                      ",Y,Y,A  
213,F3F1ZOMR,False,90.83,"Lerner, Sorin                      ",Y,Y,A  
214,F74NGECY,False,95.17,"Alvarado, Christine J.             ",Y,Y,A  
215,F9ZB9QXX,False,82.92,"Lerner, Sorin                      ",Y,Y,A  
216,FCSCRQ69,False,99.33,"Alvarado, Christine J.             ",Y,Y,A+ 
217,FET6T324,False,86.0,"Alvarado, Christine J.             ",Y,Y,A- 
218,FNTCHD74,False,91.0,"Lerner, Sorin                      ",Y,Y,A  
219,FVZD1SZ5,False,76.42,"Lerner, Sorin                      ",Y,Y,B  
